timestep,time,golf_0,golf_1,golf_2,sprinter_0,sprinter_1,sprinter_2
79,2024-05-13 19:45:00,0.8539618086032144,0.856189570843212,0.845498141491279,0.8195006131535892,0.8285591285699293,0.7910129939819639
80,2024-05-13 20:00:00,0.8539618086032144,0.856189570843212,0.845498141491279,0.8195006131535892,0.8285591285699293,0.8253879775906866
81,2024-05-13 20:15:00,0.8539618086032144,0.856189570843212,0.845498141491279,0.8195006131535892,0.8285591285699293,0.8253879775906866
82,2024-05-13 20:30:00,0.8539618086032144,0.856189570843212,0.845498141491279,0.8195006131535892,0.8285591285699293,0.8253879775906866
83,2024-05-13 20:45:00,0.8539618086032144,0.856189570843212,0.845498141491279,0.8195006131535892,0.8285591285699293,0.8253879775906866
84,2024-05-13 21:00:00,0.8539618086032144,0.856189570843212,0.845498141491279,0.8195006131535892,0.8285591285699293,0.8253879775906866
85,2024-05-13 21:15:00,0.8539618086032144,0.856189570843212,0.845498141491279,0.8195006131535892,0.8285591285699293,0.8253879775906866
86,2024-05-13 21:30:00,0.8539618086032144,0.856189570843212,0.845498141491279,0.8195006131535892,0.8285591285699293,0.8253879775906866
87,2024-05-13 21:45:00,0.8539618086032144,0.856189570843212,0.845498141491279,0.8195006131535892,0.8285591285699293,0.8253879775906866
88,2024-05-13 22:00:00,0.8539618086032144,0.856189570843212,0.845498141491279,0.8195006131535892,0.8285591285699293,0.8253879775906866
89,2024-05-13 22:15:00,0.8539618086032144,0.856189570843212,0.845498141491279,0.8195006131535892,0.8285591285699293,0.8253879775906866
90,2024-05-13 22:30:00,0.8539618086032144,0.856189570843212,0.845498141491279,0.8195006131535892,0.8285591285699293,0.8253879775906866
91,2024-05-13 22:45:00,0.8539618086032144,0.856189570843212,0.845498141491279,0.8195006131535892,0.8285591285699293,0.8253879775906866
92,2024-05-13 23:00:00,0.8539618086032144,0.856189570843212,0.845498141491279,0.8195006131535892,0.8285591285699293,0.8253879775906866
93,2024-05-13 23:15:00,0.8539618086032144,0.856189570843212,0.845498141491279,0.8195006131535892,0.8285591285699293,0.8253879775906866
94,2024-05-13 23:30:00,0.8539618086032144,0.856189570843212,0.845498141491279,0.8195006131535892,0.8285591285699293,0.8253879775906866
95,2024-05-13 23:45:00,0.8539618086032144,0.856189570843212,0.845498141491279,0.8195006131535892,0.8285591285699293,0.8253879775906866
96,2024-05-14 00:00:00,0.8539618086032144,0.856189570843212,0.845498141491279,0.8195006131535892,0.8285591285699293,0.8253879775906866
97,2024-05-14 00:15:00,0.8539618086032144,0.856189570843212,0.845498141491279,0.8195006131535892,0.8285591285699293,0.8253879775906866
98,2024-05-14 00:30:00,0.8539618086032144,0.856189570843212,0.845498141491279,0.8195006131535892,0.8285591285699293,0.8253879775906866
99,2024-05-14 00:45:00,0.8539618086032144,0.856189570843212,0.845498141491279,0.8195006131535892,0.8285591285699293,0.8253879775906866
100,2024-05-14 01:00:00,0.8539618086032144,0.856189570843212,0.845498141491279,0.8195006131535892,0.8285591285699293,0.8253879775906866
101,2024-05-14 01:15:00,0.8539618086032144,0.856189570843212,0.845498141491279,0.8195006131535892,0.8285591285699293,0.8253879775906866
102,2024-05-14 01:30:00,0.8539618086032144,0.856189570843212,0.845498141491279,0.8195006131535892,0.8285591285699293,0.8253879775906866
103,2024-05-14 01:45:00,0.8539618086032144,0.856189570843212,0.845498141491279,0.8195006131535892,0.8285591285699293,0.8253879775906866
104,2024-05-14 02:00:00,0.8539618086032144,0.856189570843212,0.845498141491279,0.8195006131535892,0.8285591285699293,0.8253879775906866
105,2024-05-14 02:15:00,0.8539618086032144,0.856189570843212,0.845498141491279,0.8195006131535892,0.8285591285699293,0.8253879775906866
106,2024-05-14 02:30:00,0.8539618086032144,0.856189570843212,0.845498141491279,0.8195006131535892,0.8285591285699293,0.8253879775906866
107,2024-05-14 02:45:00,0.8539618086032144,0.856189570843212,0.845498141491279,0.8195006131535892,0.8285591285699293,0.8253879775906866
108,2024-05-14 03:00:00,0.8539618086032144,0.856189570843212,0.845498141491279,0.8195006131535892,0.8285591285699293,0.8253879775906866
109,2024-05-14 03:15:00,0.8539618086032144,0.856189570843212,0.845498141491279,0.8195006131535892,0.8285591285699293,0.8253879775906866
110,2024-05-14 03:30:00,0.8539618086032144,0.856189570843212,0.845498141491279,0.8195006131535892,0.8285591285699293,0.8253879775906866
111,2024-05-14 03:45:00,0.8539618086032144,0.856189570843212,0.845498141491279,0.8195006131535892,0.8285591285699293,0.8253879775906866
112,2024-05-14 04:00:00,0.8539618086032144,0.856189570843212,0.845498141491279,0.8195006131535892,0.8285591285699293,0.8253879775906866
