timestep,time,golf_0,sprinter_0
127,2024-05-14 07:45:00,0.7969600364398568,0.7868571915371535
128,2024-05-14 08:00:00,0.8,0.7899048103404956
129,2024-05-14 08:15:00,0.7934599276528306,0.7949524051702479
130,2024-05-14 08:30:00,0.786919855305661,0.8
131,2024-05-14 08:45:00,0.7803797829584915,0.7957673804197216
132,2024-05-14 09:00:00,0.773839710611322,0.7915347608394432
133,2024-05-14 09:15:00,0.7672996382641525,0.7873021412591646
134,2024-05-14 09:30:00,0.7607595659169829,0.7830695216788862
135,2024-05-14 09:45:00,0.7542194935698134,0.7788369020986078
136,2024-05-14 10:00:00,0.7476794212226439,0.7746042825183294
137,2024-05-14 10:15:00,0.7411393488754744,0.7703716629380508
138,2024-05-14 10:30:00,0.7345992765283049,0.7661390433577724
139,2024-05-14 10:45:00,0.7280592041811353,0.761906423777494
140,2024-05-14 11:00:00,0.7215191318339659,0.7576738041972155
141,2024-05-14 11:15:00,0.7149790594867963,0.7534411846169371
142,2024-05-14 11:30:00,0.7084389871396268,0.7492085650366586
143,2024-05-14 11:45:00,0.7018989147924573,0.7449759454563801
144,2024-05-14 12:00:00,0.6953588424452878,0.7407433258761017
145,2024-05-14 12:15:00,0.6888187700981183,0.7365107062958233
146,2024-05-14 12:30:00,0.6822786977509487,0.7322780867155447
147,2024-05-14 12:45:00,0.6757386254037793,0.7280454671352663
148,2024-05-14 13:00:00,0.6691985530566097,0.7238128475549879
149,2024-05-14 13:15:00,0.6626584807094402,0.7195802279747094
150,2024-05-14 13:30:00,0.6561184083622706,0.715347608394431
151,2024-05-14 13:45:00,0.6495783360151012,0.7111149888141525
152,2024-05-14 14:00:00,0.6430382636679317,0.706882369233874
153,2024-05-14 14:15:00,0.6364981913207621,0.7026497496535956
154,2024-05-14 14:30:00,0.6376733184925227,0.6984171300733172
155,2024-05-14 14:45:00,0.6388432405214054,0.6941845104930386
156,2024-05-14 15:00:00,0.6400079660284403,0.6899518909127602
